ID,Description,Expected_Entities,Expected_Relationships
1,Students enroll in courses,Student|Course|Enrollment,Student-Course(M:N)
2,Customers place orders,Customer|Order,Customer-Order(1:N)
3,Patients visit doctors,Patient|Doctor|Appointment,Patient-Doctor(M:N)
4,Library system where members borrow books,Member|Book|Borrow,Member-Book(M:N)
5,Employees work in departments,Employee|Department,Employee-Department(1:N)
6,Users have profiles,User|Profile,User-Profile(1:1)
7,Banking system with accounts and transactions,Account|Transaction,Account-Transaction(1:N)
8,E-commerce system with customers orders and products,Customer|Order|Product|OrderItem,Customer-Order(1:N);Order-Product(M:N)
9,College system with students courses and instructors,Student|Course|Instructor|Enrollment,Student-Course(M:N);Instructor-Course(1:N)
10,Hospital system with patients doctors and appointments,Patient|Doctor|Appointment,Patient-Appointment(1:N);Doctor-Appointment(1:N)
11,School system with teachers classes and students,Teacher|Class|Student,Teacher-Class(1:N);Class-Student(1:N)
12,Airline system with flights passengers and bookings,Flight|Passenger|Booking,Passenger-Flight(M:N)
13,Hotel system with rooms guests and reservations,Room|Guest|Reservation,Guest-Room(M:N)
14,Inventory system with suppliers products and stock,Supplier|Product|Stock,Supplier-Product(1:N)
15,Social media system with users posts and comments,User|Post|Comment,User-Post(1:N);Post-Comment(1:N)
16,Music system with users songs and playlists,User|Song|Playlist|PlaylistSong,User-Playlist(1:N);Playlist-Song(M:N)
17,Food delivery system with restaurants orders and delivery agents,Restaurant|Order|DeliveryAgent,Restaurant-Order(1:N);Order-DeliveryAgent(1:N)
18,Ride sharing system with drivers passengers and rides,Driver|Passenger|Ride,Driver-Ride(1:N);Passenger-Ride(1:N)
19,Online learning system with courses students and instructors,Course|Student|Instructor|Enrollment,Student-Course(M:N);Instructor-Course(1:N)
20,Event system with events participants and tickets,Event|Participant|Ticket,Participant-Event(M:N)
21,Gym system with members trainers and sessions,Member|Trainer|Session,Trainer-Session(1:N);Member-Session(M:N)
22,Movie system with movies actors and directors,Movie|Actor|Director,Actor-Movie(M:N);Director-Movie(1:N)
23,News system with journalists articles and categories,Journalist|Article|Category,Journalist-Article(1:N);Article-Category(M:N)
24,Car rental system with cars customers and bookings,Car|Customer|Booking,Customer-Car(M:N)
25,Job portal with companies jobs and applicants,Company|Job|Applicant,Company-Job(1:N);Applicant-Job(M:N)
26,Healthcare system with patients prescriptions and medicines,Patient|Prescription|Medicine,Patient-Prescription(1:N);Prescription-Medicine(M:N)
27,Warehouse system with items locations and inventory,Item|Location|Inventory,Item-Location(1:N)
28,Ticket booking system with users shows and bookings,User|Show|Booking,User-Show(M:N)
29,Forum system with users threads and replies,User|Thread|Reply,User-Thread(1:N);Thread-Reply(1:N)
30,Research system with papers authors and citations,Paper|Author|Citation,Author-Paper(M:N)
